,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.7%,11.7%
22,    15 to 17 years,3.2%,2.3%,4.1%
23,    18 to 24 years,5.0%,4.9%,5.1%
24,    15 to 44 years,30.6%,31.2%,30.0%
25,    16 years and over,N,N,N
26,    18 years and over,79.3%,79.4%,79.2%
27,    60 years and over,30.6%,29.3%,31.9%
28,    62 years and over,27.8%,26.8%,28.7%
29,    65 years and over,23.6%,23.4%,23.8%
30,    75 years and over,9.1%,8.3%,9.9%
