,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.7%,10.6%,10.8%
22,    15 to 17 years,3.2%,3.3%,3.1%
23,    18 to 24 years,15.6%,16.6%,14.6%
24,    15 to 44 years,41.1%,43.4%,38.8%
25,    16 years and over,83.2%,83.2%,83.2%
26,    18 years and over,81.3%,81.4%,81.3%
27,    60 years and over,23.5%,21.0%,26.1%
28,    62 years and over,20.8%,18.7%,22.9%
29,    65 years and over,16.3%,14.8%,17.9%
30,    75 years and over,7.6%,6.5%,8.8%
