,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.9%,15.3%,14.6%
22,    15 to 17 years,4.7%,4.8%,4.6%
23,    18 to 24 years,10.4%,10.7%,10.1%
24,    15 to 44 years,41.4%,42.1%,40.8%
25,    16 years and over,76.7%,76.1%,77.3%
26,    18 years and over,73.6%,73.0%,74.2%
27,    60 years and over,18.2%,16.9%,19.4%
28,    62 years and over,16.1%,14.8%,17.3%
29,    65 years and over,13.2%,12.1%,14.3%
30,    75 years and over,5.8%,5.0%,6.5%
