,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.3%,13.0%,11.7%
22,    15 to 17 years,4.1%,4.3%,3.9%
23,    18 to 24 years,19.5%,18.9%,20.0%
24,    15 to 44 years,49.3%,49.6%,48.9%
25,    16 years and over,80.2%,79.4%,81.0%
26,    18 years and over,77.5%,76.3%,78.6%
27,    60 years and over,14.5%,13.4%,15.6%
28,    62 years and over,12.5%,11.4%,13.6%
29,    65 years and over,10.0%,8.9%,11.0%
30,    75 years and over,4.6%,3.9%,5.4%
