,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.8%,16.2%,15.3%
22,    15 to 17 years,4.8%,4.9%,4.6%
23,    18 to 24 years,10.2%,10.7%,9.8%
24,    15 to 44 years,41.4%,42.3%,40.6%
25,    16 years and over,75.3%,74.6%,75.9%
26,    18 years and over,72.1%,71.3%,72.9%
27,    60 years and over,16.7%,15.2%,18.3%
28,    62 years and over,14.5%,13.1%,15.9%
29,    65 years and over,11.7%,10.4%,13.1%
30,    75 years and over,4.9%,4.0%,5.8%
