,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.5%,13.8%,13.1%
22,    15 to 17 years,4.5%,4.6%,4.4%
23,    18 to 24 years,9.9%,10.5%,9.3%
24,    15 to 44 years,40.9%,42.1%,39.7%
25,    16 years and over,78.7%,78.0%,79.3%
26,    18 years and over,75.6%,74.9%,76.2%
27,    60 years and over,17.2%,15.7%,18.8%
28,    62 years and over,14.7%,13.1%,16.2%
29,    65 years and over,11.5%,10.0%,12.9%
30,    75 years and over,5.1%,4.1%,6.1%
