,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.5%,15.9%,15.1%
22,    15 to 17 years,4.8%,4.7%,4.9%
23,    18 to 24 years,10.9%,11.3%,10.5%
24,    15 to 44 years,42.0%,44.5%,39.3%
25,    16 years and over,74.9%,74.4%,75.4%
26,    18 years and over,71.4%,71.0%,71.8%
27,    60 years and over,17.8%,15.6%,20.1%
28,    62 years and over,15.6%,14.0%,17.3%
29,    65 years and over,12.8%,11.0%,14.6%
30,    75 years and over,5.8%,4.8%,6.8%
