,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.6%,11.9%,11.2%
22,    15 to 17 years,3.5%,3.6%,3.5%
23,    18 to 24 years,14.8%,14.8%,14.7%
24,    15 to 44 years,42.8%,43.5%,42.2%
25,    16 years and over,81.7%,81.2%,82.2%
26,    18 years and over,79.3%,78.5%,80.0%
27,    60 years and over,18.1%,17.0%,19.1%
28,    62 years and over,15.2%,13.8%,16.6%
29,    65 years and over,12.2%,10.7%,13.6%
30,    75 years and over,5.2%,4.1%,6.2%
