,Label (Grouping),"Sierra County, California!!Total!!Estimate","Sierra County, California!!Male!!Estimate","Sierra County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,8.4%,7.9%,8.9%
22,    15 to 17 years,3.2%,4.3%,2.1%
23,    18 to 24 years,5.1%,6.0%,4.3%
24,    15 to 44 years,26.4%,28.4%,24.5%
25,    16 years and over,85.3%,87.8%,82.8%
26,    18 years and over,83.3%,86.0%,80.7%
27,    60 years and over,30.4%,30.6%,30.1%
28,    62 years and over,27.3%,26.4%,28.2%
29,    65 years and over,21.8%,22.0%,21.5%
30,    75 years and over,8.8%,8.6%,8.9%
