,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.6%,11.6%
22,    15 to 17 years,3.7%,3.9%,3.5%
23,    18 to 24 years,20.0%,19.2%,20.8%
24,    15 to 44 years,48.8%,49.2%,48.5%
25,    16 years and over,80.9%,80.0%,81.6%
26,    18 years and over,78.3%,77.3%,79.3%
27,    60 years and over,16.3%,14.8%,17.7%
28,    62 years and over,14.5%,13.2%,15.8%
29,    65 years and over,11.3%,10.3%,12.3%
30,    75 years and over,4.9%,4.1%,5.6%
