,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.2%,13.8%,12.7%
22,    15 to 17 years,4.2%,4.4%,4.0%
23,    18 to 24 years,10.0%,10.4%,9.6%
24,    15 to 44 years,40.8%,41.8%,39.8%
25,    16 years and over,78.9%,78.0%,79.7%
26,    18 years and over,76.1%,75.1%,77.0%
27,    60 years and over,18.6%,16.9%,20.3%
28,    62 years and over,16.3%,14.6%,17.9%
29,    65 years and over,13.2%,11.5%,14.7%
30,    75 years and over,6.0%,4.8%,7.2%
