,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.0%,16.0%,15.9%
22,    15 to 17 years,5.2%,5.2%,5.2%
23,    18 to 24 years,11.2%,12.0%,10.4%
24,    15 to 44 years,43.1%,45.3%,40.8%
25,    16 years and over,74.3%,74.4%,74.3%
26,    18 years and over,70.9%,70.9%,70.8%
27,    60 years and over,14.5%,13.0%,16.0%
28,    62 years and over,12.8%,11.5%,14.2%
29,    65 years and over,10.6%,9.3%,11.9%
30,    75 years and over,4.9%,4.3%,5.6%
