,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.7%,12.1%,11.4%
22,    15 to 17 years,3.4%,3.5%,3.3%
23,    18 to 24 years,5.8%,6.5%,5.2%
24,    15 to 44 years,33.4%,35.2%,31.7%
25,    16 years and over,81.7%,81.3%,82.2%
26,    18 years and over,79.4%,78.7%,80.1%
27,    60 years and over,24.4%,22.4%,26.4%
28,    62 years and over,21.1%,19.2%,22.9%
29,    65 years and over,16.9%,15.2%,18.6%
30,    75 years and over,7.6%,6.2%,9.0%
