,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.0%,13.3%,12.7%
22,    15 to 17 years,4.5%,4.6%,4.3%
23,    18 to 24 years,7.5%,8.1%,6.8%
24,    15 to 44 years,33.8%,34.5%,33.0%
25,    16 years and over,80.5%,80.1%,80.9%
26,    18 years and over,77.4%,76.7%,78.0%
27,    60 years and over,22.3%,21.7%,23.0%
28,    62 years and over,19.1%,18.2%,19.9%
29,    65 years and over,14.8%,14.0%,15.7%
30,    75 years and over,6.2%,5.5%,6.8%
