,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.1%,12.4%,11.8%
22,    15 to 17 years,3.7%,4.0%,3.5%
23,    18 to 24 years,7.7%,8.1%,7.2%
24,    15 to 44 years,34.7%,36.2%,33.3%
25,    16 years and over,80.8%,80.4%,81.2%
26,    18 years and over,78.2%,77.5%,78.9%
27,    60 years and over,27.4%,25.9%,29.0%
28,    62 years and over,24.0%,22.6%,25.4%
29,    65 years and over,18.9%,17.6%,20.2%
30,    75 years and over,7.1%,6.1%,8.2%
