,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.8%,16.2%,15.5%
22,    15 to 17 years,4.6%,4.7%,4.4%
23,    18 to 24 years,10.5%,10.7%,10.2%
24,    15 to 44 years,41.9%,42.5%,41.4%
25,    16 years and over,74.4%,73.7%,75.2%
26,    18 years and over,71.1%,70.3%,71.9%
27,    60 years and over,15.3%,14.1%,16.5%
28,    62 years and over,12.9%,11.9%,13.9%
29,    65 years and over,10.1%,9.2%,11.0%
30,    75 years and over,4.4%,3.7%,5.0%
