,Label (Grouping),"Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.4%,10.7%,12.3%
22,    15 to 17 years,3.9%,3.3%,4.6%
23,    18 to 24 years,9.5%,10.5%,8.4%
24,    15 to 44 years,39.9%,44.9%,33.8%
25,    16 years and over,81.1%,83.1%,78.7%
26,    18 years and over,78.7%,81.4%,75.5%
27,    60 years and over,20.2%,17.4%,23.6%
28,    62 years and over,17.9%,15.4%,20.9%
29,    65 years and over,14.3%,12.4%,16.6%
30,    75 years and over,5.9%,4.5%,7.6%
