,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.5%,9.9%,9.1%
22,    15 to 17 years,4.1%,4.4%,3.7%
23,    18 to 24 years,7.2%,7.2%,7.1%
24,    15 to 44 years,30.8%,32.5%,29.1%
25,    16 years and over,84.6%,83.0%,86.2%
26,    18 years and over,82.0%,80.7%,83.4%
27,    60 years and over,31.1%,30.2%,32.1%
28,    62 years and over,27.5%,26.3%,28.6%
29,    65 years and over,21.2%,19.9%,22.4%
30,    75 years and over,8.9%,7.5%,10.2%
