,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.3%,11.5%,11.0%
22,    15 to 17 years,3.6%,5.4%,1.7%
23,    18 to 24 years,6.7%,6.4%,7.2%
24,    15 to 44 years,32.7%,34.9%,30.4%
25,    16 years and over,81.8%,80.6%,83.0%
26,    18 years and over,79.7%,77.4%,82.3%
27,    60 years and over,26.6%,25.0%,28.2%
28,    62 years and over,23.6%,22.3%,25.0%
29,    65 years and over,18.3%,17.1%,19.6%
30,    75 years and over,7.6%,6.6%,8.7%
