,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.5%,14.0%,13.1%
22,    15 to 17 years,4.5%,4.6%,4.3%
23,    18 to 24 years,10.1%,10.5%,9.7%
24,    15 to 44 years,43.0%,44.0%,42.0%
25,    16 years and over,78.7%,78.0%,79.4%
26,    18 years and over,75.6%,74.8%,76.5%
27,    60 years and over,16.6%,14.8%,18.2%
28,    62 years and over,14.5%,12.9%,16.1%
29,    65 years and over,11.7%,10.3%,13.1%
30,    75 years and over,5.4%,4.4%,6.5%
