,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.4%,12.5%,12.3%
22,    15 to 17 years,3.7%,3.9%,3.5%
23,    18 to 24 years,8.8%,9.2%,8.4%
24,    15 to 44 years,34.8%,36.7%,32.9%
25,    16 years and over,80.0%,80.6%,79.4%
26,    18 years and over,78.1%,78.0%,78.3%
27,    60 years and over,26.2%,24.6%,27.7%
28,    62 years and over,22.6%,21.1%,24.1%
29,    65 years and over,17.2%,15.6%,18.8%
30,    75 years and over,7.1%,6.2%,8.0%
