,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.1%,12.4%,11.8%
22,    15 to 17 years,4.0%,4.1%,3.8%
23,    18 to 24 years,8.4%,9.2%,7.5%
24,    15 to 44 years,35.6%,37.1%,34.1%
25,    16 years and over,80.3%,79.6%,80.9%
26,    18 years and over,77.9%,77.2%,78.6%
27,    60 years and over,23.9%,21.7%,26.0%
28,    62 years and over,20.6%,18.6%,22.7%
29,    65 years and over,16.0%,14.6%,17.3%
30,    75 years and over,7.1%,5.8%,8.3%
