,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.5%,12.9%,12.1%
22,    15 to 17 years,3.8%,3.9%,3.7%
23,    18 to 24 years,9.2%,9.9%,8.4%
24,    15 to 44 years,39.8%,41.4%,38.2%
25,    16 years and over,80.1%,79.3%,80.9%
26,    18 years and over,77.5%,76.8%,78.3%
27,    60 years and over,21.2%,18.9%,23.5%
28,    62 years and over,18.8%,16.7%,20.8%
29,    65 years and over,14.7%,13.1%,16.3%
30,    75 years and over,5.8%,4.8%,6.7%
