,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,14.0%,17.0%
22,    15 to 17 years,4.2%,3.5%,5.0%
23,    18 to 24 years,11.2%,11.9%,10.3%
24,    15 to 44 years,44.6%,47.2%,41.4%
25,    16 years and over,75.4%,77.5%,72.8%
26,    18 years and over,72.7%,75.1%,69.7%
27,    60 years and over,13.9%,12.0%,16.3%
28,    62 years and over,11.9%,10.0%,14.3%
29,    65 years and over,9.6%,7.8%,11.8%
30,    75 years and over,4.2%,3.2%,5.5%
