,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.1%,16.6%,15.7%
22,    15 to 17 years,5.2%,5.4%,4.9%
23,    18 to 24 years,10.4%,10.9%,9.9%
24,    15 to 44 years,42.1%,43.0%,41.1%
25,    16 years and over,74.3%,73.6%,75.0%
26,    18 years and over,70.8%,69.9%,71.7%
27,    60 years and over,14.9%,13.3%,16.5%
28,    62 years and over,13.0%,11.6%,14.4%
29,    65 years and over,10.5%,9.1%,11.9%
30,    75 years and over,4.8%,3.8%,5.8%
