,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.0%,13.2%,12.8%
22,    15 to 17 years,3.7%,3.7%,3.6%
23,    18 to 24 years,8.8%,9.1%,8.4%
24,    15 to 44 years,42.7%,44.0%,41.5%
25,    16 years and over,79.4%,79.1%,79.7%
26,    18 years and over,76.9%,76.5%,77.3%
27,    60 years and over,17.3%,15.6%,19.0%
28,    62 years and over,15.0%,13.4%,16.7%
29,    65 years and over,12.2%,10.7%,13.7%
30,    75 years and over,5.4%,4.5%,6.4%
