,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.8%,18.2%,17.4%
22,    15 to 17 years,5.2%,5.4%,5.1%
23,    18 to 24 years,10.9%,11.3%,10.6%
24,    15 to 44 years,42.5%,43.4%,41.6%
25,    16 years and over,71.4%,70.7%,72.0%
26,    18 years and over,67.9%,67.1%,68.7%
27,    60 years and over,14.1%,12.8%,15.5%
28,    62 years and over,12.4%,11.1%,13.7%
29,    65 years and over,9.9%,8.9%,11.0%
30,    75 years and over,4.3%,3.6%,5.0%
