,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.3%,11.9%,10.7%
22,    15 to 17 years,3.9%,4.2%,3.7%
23,    18 to 24 years,15.2%,15.8%,14.7%
24,    15 to 44 years,41.5%,42.9%,40.0%
25,    16 years and over,82.4%,81.3%,83.4%
26,    18 years and over,79.5%,78.2%,80.7%
27,    60 years and over,22.8%,20.8%,24.9%
28,    62 years and over,19.9%,17.8%,22.0%
29,    65 years and over,15.9%,14.1%,17.8%
30,    75 years and over,7.6%,6.2%,9.0%
