,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.5%,11.6%
22,    15 to 17 years,3.4%,3.6%,3.3%
23,    18 to 24 years,7.5%,7.9%,7.2%
24,    15 to 44 years,39.7%,41.1%,38.4%
25,    16 years and over,80.7%,80.0%,81.4%
26,    18 years and over,78.5%,77.7%,79.3%
27,    60 years and over,20.7%,18.8%,22.5%
28,    62 years and over,18.1%,16.3%,19.8%
29,    65 years and over,14.6%,12.9%,16.4%
30,    75 years and over,6.6%,5.4%,7.7%
