,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.2%,15.8%,14.5%
22,    15 to 17 years,4.5%,4.4%,4.6%
23,    18 to 24 years,10.6%,11.5%,9.8%
24,    15 to 44 years,41.3%,42.0%,40.5%
25,    16 years and over,76.4%,75.2%,77.5%
26,    18 years and over,73.1%,72.6%,73.6%
27,    60 years and over,18.5%,16.8%,20.1%
28,    62 years and over,16.1%,14.4%,17.7%
29,    65 years and over,13.6%,12.5%,14.6%
30,    75 years and over,6.3%,5.4%,7.2%
