,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.3%,11.6%,11.0%
22,    15 to 17 years,3.5%,3.7%,3.3%
23,    18 to 24 years,15.2%,15.6%,14.8%
24,    15 to 44 years,41.3%,43.0%,39.7%
25,    16 years and over,82.2%,81.4%,82.9%
26,    18 years and over,79.7%,78.9%,80.4%
27,    60 years and over,23.5%,21.6%,25.3%
28,    62 years and over,20.7%,18.9%,22.5%
29,    65 years and over,17.0%,15.3%,18.7%
30,    75 years and over,7.6%,6.2%,8.9%
