,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.0%,15.5%,14.6%
22,    15 to 17 years,4.5%,4.6%,4.3%
23,    18 to 24 years,9.4%,9.9%,8.9%
24,    15 to 44 years,39.5%,40.4%,38.6%
25,    16 years and over,76.5%,75.4%,77.7%
26,    18 years and over,73.6%,72.6%,74.6%
27,    60 years and over,19.8%,18.3%,21.3%
28,    62 years and over,17.4%,15.8%,19.0%
29,    65 years and over,14.5%,13.0%,15.9%
30,    75 years and over,6.5%,5.6%,7.4%
