,Label (Grouping),"Lassen County, California!!Total!!Estimate","Lassen County, California!!Male!!Estimate","Lassen County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.1%,7.5%,12.2%
22,    15 to 17 years,2.9%,2.3%,4.1%
23,    18 to 24 years,12.1%,14.4%,7.5%
24,    15 to 44 years,48.4%,56.7%,32.1%
25,    16 years and over,85.1%,88.3%,78.8%
26,    18 years and over,83.5%,87.0%,76.7%
27,    60 years and over,18.2%,14.3%,25.9%
28,    62 years and over,15.9%,12.2%,23.3%
29,    65 years and over,12.3%,9.2%,18.4%
30,    75 years and over,4.9%,3.5%,7.7%
