,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.5%,15.9%,15.1%
22,    15 to 17 years,5.1%,5.2%,5.0%
23,    18 to 24 years,11.6%,12.0%,11.1%
24,    15 to 44 years,43.8%,44.7%,43.0%
25,    16 years and over,75.3%,74.7%,75.8%
26,    18 years and over,71.8%,71.1%,72.6%
27,    60 years and over,14.3%,13.2%,15.4%
28,    62 years and over,12.2%,11.1%,13.3%
29,    65 years and over,9.6%,8.5%,10.6%
30,    75 years and over,4.0%,3.2%,4.7%
