,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.5%,11.6%
22,    15 to 17 years,3.6%,3.8%,3.5%
23,    18 to 24 years,7.7%,8.3%,7.1%
24,    15 to 44 years,40.3%,41.7%,38.9%
25,    16 years and over,80.3%,79.5%,81.1%
26,    18 years and over,77.9%,77.1%,78.7%
27,    60 years and over,19.3%,17.2%,21.3%
28,    62 years and over,16.8%,14.8%,18.7%
29,    65 years and over,13.5%,11.7%,15.3%
30,    75 years and over,6.5%,5.2%,7.7%
