,Label (Grouping),"Mono County, California!!Total!!Estimate","Mono County, California!!Male!!Estimate","Mono County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.9%,13.5%,12.2%
22,    15 to 17 years,2.5%,2.8%,2.2%
23,    18 to 24 years,14.1%,13.1%,15.3%
24,    15 to 44 years,39.9%,41.7%,37.8%
25,    16 years and over,82.0%,84.1%,79.6%
26,    18 years and over,80.2%,81.9%,78.2%
27,    60 years and over,19.2%,20.5%,17.6%
28,    62 years and over,16.4%,17.6%,14.9%
29,    65 years and over,13.2%,13.4%,13.0%
30,    75 years and over,4.6%,5.1%,3.9%
