,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.3%,15.6%,15.0%
22,    15 to 17 years,4.9%,5.0%,4.8%
23,    18 to 24 years,10.7%,11.0%,10.3%
24,    15 to 44 years,41.7%,42.4%,41.0%
25,    16 years and over,75.8%,75.2%,76.4%
26,    18 years and over,72.6%,72.0%,73.2%
27,    60 years and over,17.2%,16.0%,18.3%
28,    62 years and over,15.3%,14.2%,16.5%
29,    65 years and over,12.4%,11.3%,13.5%
30,    75 years and over,5.5%,4.8%,6.2%
