,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.9%,12.2%,11.7%
22,    15 to 17 years,3.7%,4.4%,2.9%
23,    18 to 24 years,8.2%,8.3%,8.2%
24,    15 to 44 years,34.7%,36.3%,33.3%
25,    16 years and over,81.1%,80.1%,82.1%
26,    18 years and over,78.5%,77.0%,80.0%
27,    60 years and over,28.1%,26.2%,30.0%
28,    62 years and over,24.8%,22.8%,26.8%
29,    65 years and over,20.3%,18.8%,21.8%
30,    75 years and over,8.4%,7.2%,9.5%
