,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,17.7%,18.0%,17.4%
22,    15 to 17 years,5.4%,5.5%,5.3%
23,    18 to 24 years,10.7%,11.2%,10.3%
24,    15 to 44 years,42.6%,43.5%,41.6%
25,    16 years and over,71.2%,70.8%,71.7%
26,    18 years and over,67.5%,66.9%,68.2%
27,    60 years and over,13.6%,12.3%,14.8%
28,    62 years and over,11.7%,10.6%,12.9%
29,    65 years and over,9.5%,8.5%,10.6%
30,    75 years and over,4.3%,3.5%,5.0%
