,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.1%,12.6%,11.7%
22,    15 to 17 years,4.0%,4.2%,3.8%
23,    18 to 24 years,9.5%,10.1%,9.0%
24,    15 to 44 years,38.7%,40.4%,37.0%
25,    16 years and over,80.8%,80.1%,81.6%
26,    18 years and over,78.1%,77.2%,78.9%
27,    60 years and over,20.9%,19.1%,22.7%
28,    62 years and over,17.9%,16.2%,19.6%
29,    65 years and over,14.1%,12.4%,15.9%
30,    75 years and over,6.6%,5.2%,8.0%
