,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.8%,15.1%,14.5%
22,    15 to 17 years,4.1%,4.1%,4.0%
23,    18 to 24 years,10.3%,10.6%,10.1%
24,    15 to 44 years,41.8%,43.2%,40.5%
25,    16 years and over,76.4%,75.9%,76.9%
26,    18 years and over,73.6%,73.3%,74.0%
27,    60 years and over,18.1%,16.6%,19.7%
28,    62 years and over,15.6%,14.0%,17.3%
29,    65 years and over,12.7%,11.2%,14.2%
30,    75 years and over,5.3%,4.3%,6.4%
