,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,15.9%,14.8%
22,    15 to 17 years,4.2%,4.4%,4.1%
23,    18 to 24 years,10.2%,10.7%,9.7%
24,    15 to 44 years,41.8%,42.5%,41.2%
25,    16 years and over,74.8%,74.2%,75.5%
26,    18 years and over,72.1%,71.4%,72.9%
27,    60 years and over,16.3%,15.2%,17.5%
28,    62 years and over,14.2%,13.1%,15.3%
29,    65 years and over,11.5%,10.6%,12.4%
30,    75 years and over,4.4%,3.9%,5.0%
