,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.0%,12.4%,11.6%
22,    15 to 17 years,3.5%,4.0%,3.1%
23,    18 to 24 years,6.6%,6.8%,6.5%
24,    15 to 44 years,31.4%,33.5%,29.5%
25,    16 years and over,81.7%,81.3%,82.0%
26,    18 years and over,79.6%,79.0%,80.1%
27,    60 years and over,28.1%,26.1%,29.9%
28,    62 years and over,25.0%,23.2%,26.8%
29,    65 years and over,20.7%,18.8%,22.4%
30,    75 years and over,8.4%,7.0%,9.7%
