,Label (Grouping),"Trinity County, California!!Total!!Estimate","Trinity County, California!!Male!!Estimate","Trinity County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.6%,8.9%,10.3%
22,    15 to 17 years,3.3%,3.2%,3.4%
23,    18 to 24 years,5.4%,6.4%,4.4%
24,    15 to 44 years,28.5%,29.3%,27.6%
25,    16 years and over,85.5%,86.2%,84.7%
26,    18 years and over,82.7%,83.4%,82.0%
27,    60 years and over,34.6%,34.8%,34.4%
28,    62 years and over,31.0%,31.5%,30.6%
29,    65 years and over,24.1%,24.2%,24.1%
30,    75 years and over,9.8%,9.1%,10.6%
