,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.3%,13.6%,12.9%
22,    15 to 17 years,4.2%,4.3%,4.1%
23,    18 to 24 years,9.6%,9.9%,9.3%
24,    15 to 44 years,39.4%,40.5%,38.3%
25,    16 years and over,79.3%,78.7%,79.9%
26,    18 years and over,76.4%,75.9%,77.0%
27,    60 years and over,20.7%,19.4%,22.0%
28,    62 years and over,18.1%,16.5%,19.6%
29,    65 years and over,14.6%,13.2%,15.9%
30,    75 years and over,6.1%,5.1%,7.1%
