,Label (Grouping),"Kern County, California!!Total!!Estimate","Kern County, California!!Male!!Estimate","Kern County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.3%,16.1%,16.5%
22,    15 to 17 years,4.9%,4.8%,5.1%
23,    18 to 24 years,11.3%,11.9%,10.7%
24,    15 to 44 years,43.5%,45.1%,41.9%
25,    16 years and over,73.3%,73.5%,73.2%
26,    18 years and over,70.1%,70.4%,69.8%
27,    60 years and over,14.0%,12.8%,15.3%
28,    62 years and over,12.0%,10.9%,13.0%
29,    65 years and over,9.4%,8.4%,10.5%
30,    75 years and over,3.9%,3.2%,4.6%
