,Label (Grouping),"Tuolumne County, California!!Total!!Estimate","Tuolumne County, California!!Male!!Estimate","Tuolumne County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.4%,9.3%,9.5%
22,    15 to 17 years,3.0%,3.0%,3.0%
23,    18 to 24 years,7.8%,8.8%,6.6%
24,    15 to 44 years,32.7%,36.0%,29.2%
25,    16 years and over,85.4%,85.8%,85.0%
26,    18 years and over,83.3%,83.7%,82.9%
27,    60 years and over,32.6%,30.8%,34.5%
28,    62 years and over,29.5%,28.0%,31.2%
29,    65 years and over,23.4%,21.5%,25.6%
30,    75 years and over,9.8%,8.5%,11.3%
