,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,15.4%,15.4%
22,    15 to 17 years,5.0%,5.3%,4.7%
23,    18 to 24 years,11.6%,12.4%,10.7%
24,    15 to 44 years,43.1%,45.3%,40.7%
25,    16 years and over,75.1%,75.2%,74.9%
26,    18 years and over,71.5%,71.5%,71.5%
27,    60 years and over,14.4%,12.2%,16.9%
28,    62 years and over,12.9%,11.1%,14.9%
29,    65 years and over,10.8%,9.3%,12.3%
30,    75 years and over,4.9%,4.3%,5.7%
