,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.9%,12.3%,11.5%
22,    15 to 17 years,3.5%,3.8%,3.3%
23,    18 to 24 years,19.7%,18.4%,20.9%
24,    15 to 44 years,49.1%,49.8%,48.4%
25,    16 years and over,80.8%,80.6%,81.0%
26,    18 years and over,78.8%,78.1%,79.5%
27,    60 years and over,17.0%,15.3%,18.6%
28,    62 years and over,15.3%,13.6%,16.9%
29,    65 years and over,12.0%,11.0%,13.0%
30,    75 years and over,5.0%,4.1%,5.8%
