,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.1%,11.5%,10.6%
22,    15 to 17 years,3.7%,3.7%,3.6%
23,    18 to 24 years,7.5%,8.0%,7.0%
24,    15 to 44 years,32.1%,33.3%,31.0%
25,    16 years and over,82.0%,81.5%,82.5%
26,    18 years and over,79.7%,79.1%,80.3%
27,    60 years and over,28.8%,27.7%,29.9%
28,    62 years and over,25.4%,24.6%,26.2%
29,    65 years and over,20.5%,19.6%,21.4%
30,    75 years and over,8.1%,7.4%,8.9%
