,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.3%,12.5%,12.0%
22,    15 to 17 years,3.7%,3.6%,3.8%
23,    18 to 24 years,15.7%,16.1%,15.3%
24,    15 to 44 years,44.1%,45.4%,42.8%
25,    16 years and over,79.9%,79.3%,80.5%
26,    18 years and over,77.6%,77.2%,78.0%
27,    60 years and over,20.2%,18.1%,22.2%
28,    62 years and over,17.8%,15.8%,19.7%
29,    65 years and over,14.6%,13.0%,16.2%
30,    75 years and over,6.6%,5.5%,7.7%
