,Label (Grouping),"Colusa County, California!!Total!!Estimate","Colusa County, California!!Male!!Estimate","Colusa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.9%,16.0%,15.7%
22,    15 to 17 years,5.3%,5.5%,5.1%
23,    18 to 24 years,9.1%,10.0%,8.1%
24,    15 to 44 years,39.7%,40.2%,39.2%
25,    16 years and over,73.6%,72.8%,74.5%
26,    18 years and over,70.2%,69.4%,71.1%
27,    60 years and over,17.4%,16.6%,18.3%
28,    62 years and over,15.4%,14.7%,16.1%
29,    65 years and over,11.9%,11.3%,12.7%
30,    75 years and over,5.4%,4.5%,6.4%
