,Label (Grouping),"Mariposa County, California!!Total!!Estimate","Mariposa County, California!!Male!!Estimate","Mariposa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.1%,9.6%,10.5%
22,    15 to 17 years,3.4%,2.8%,4.1%
23,    18 to 24 years,5.9%,5.4%,6.3%
24,    15 to 44 years,29.1%,29.1%,29.1%
25,    16 years and over,84.6%,85.8%,83.3%
26,    18 years and over,82.4%,84.0%,80.8%
27,    60 years and over,29.3%,29.3%,29.3%
28,    62 years and over,26.3%,26.9%,25.8%
29,    65 years and over,21.2%,21.0%,21.5%
30,    75 years and over,8.8%,8.5%,9.2%
