,Label (Grouping),"Lassen County, California!!Total!!Estimate","Lassen County, California!!Male!!Estimate","Lassen County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,8.9%,7.3%,11.8%
22,    15 to 17 years,3.1%,2.5%,4.2%
23,    18 to 24 years,11.8%,13.3%,9.0%
24,    15 to 44 years,49.1%,55.8%,36.4%
25,    16 years and over,85.2%,87.9%,79.9%
26,    18 years and over,83.5%,86.5%,77.8%
27,    60 years and over,15.4%,11.9%,21.8%
28,    62 years and over,12.9%,9.6%,19.2%
29,    65 years and over,10.1%,7.8%,14.5%
30,    75 years and over,4.4%,2.9%,7.0%
