,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.3%,12.5%,12.0%
22,    15 to 17 years,3.8%,4.0%,3.7%
23,    18 to 24 years,15.6%,16.0%,15.3%
24,    15 to 44 years,44.5%,46.3%,42.7%
25,    16 years and over,79.8%,79.5%,80.1%
26,    18 years and over,77.4%,76.9%,77.9%
27,    60 years and over,18.4%,16.6%,20.2%
28,    62 years and over,16.4%,14.6%,18.2%
29,    65 years and over,13.3%,11.7%,15.0%
30,    75 years and over,6.5%,5.3%,7.8%
