,Label (Grouping),"Mono County, California!!Total!!Estimate","Mono County, California!!Male!!Estimate","Mono County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.7%,11.6%,13.8%
22,    15 to 17 years,2.4%,3.0%,1.8%
23,    18 to 24 years,10.5%,12.3%,8.5%
24,    15 to 44 years,42.6%,46.4%,38.2%
25,    16 years and over,80.0%,82.3%,77.4%
26,    18 years and over,78.8%,80.8%,76.5%
27,    60 years and over,16.2%,15.9%,16.6%
28,    62 years and over,13.1%,14.9%,11.2%
29,    65 years and over,9.6%,9.7%,9.5%
30,    75 years and over,3.1%,3.7%,2.6%
