,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.7%,16.0%,15.3%
22,    15 to 17 years,5.1%,5.3%,5.0%
23,    18 to 24 years,10.4%,10.8%,10.0%
24,    15 to 44 years,41.9%,42.6%,41.2%
25,    16 years and over,75.2%,74.6%,75.8%
26,    18 years and over,71.8%,71.1%,72.5%
27,    60 years and over,16.4%,15.1%,17.7%
28,    62 years and over,14.5%,13.3%,15.7%
29,    65 years and over,11.9%,10.8%,13.1%
30,    75 years and over,5.4%,4.7%,6.2%
