,Label (Grouping),"Alameda County, California!!Total!!Estimate","Alameda County, California!!Male!!Estimate","Alameda County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.7%,11.8%
22,    15 to 17 years,3.8%,4.0%,3.6%
23,    18 to 24 years,9.8%,10.2%,9.5%
24,    15 to 44 years,43.9%,44.8%,43.1%
25,    16 years and over,80.1%,79.2%,80.9%
26,    18 years and over,77.5%,76.5%,78.5%
27,    60 years and over,16.4%,14.8%,18.0%
28,    62 years and over,14.2%,12.7%,15.6%
29,    65 years and over,11.2%,9.8%,12.6%
30,    75 years and over,5.2%,4.1%,6.2%
