,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.2%,13.9%,16.8%
22,    15 to 17 years,4.3%,3.9%,4.9%
23,    18 to 24 years,11.4%,11.9%,10.7%
24,    15 to 44 years,46.1%,49.0%,42.6%
25,    16 years and over,75.2%,77.2%,72.7%
26,    18 years and over,72.5%,74.9%,69.5%
27,    60 years and over,13.0%,11.3%,15.3%
28,    62 years and over,11.1%,9.3%,13.3%
29,    65 years and over,9.1%,7.5%,11.0%
30,    75 years and over,3.8%,2.8%,5.0%
