,Label (Grouping),"Kern County, California!!Total!!Estimate","Kern County, California!!Male!!Estimate","Kern County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.4%,16.2%,16.6%
22,    15 to 17 years,4.8%,4.7%,4.8%
23,    18 to 24 years,11.0%,11.5%,10.4%
24,    15 to 44 years,43.3%,44.9%,41.6%
25,    16 years and over,73.7%,74.0%,73.4%
26,    18 years and over,70.5%,70.8%,70.3%
27,    60 years and over,14.5%,13.2%,15.9%
28,    62 years and over,12.5%,11.3%,13.8%
29,    65 years and over,9.9%,8.8%,11.0%
30,    75 years and over,4.0%,3.3%,4.7%
