,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.6%,14.9%,14.2%
22,    15 to 17 years,4.6%,4.6%,4.5%
23,    18 to 24 years,10.0%,10.3%,9.8%
24,    15 to 44 years,41.0%,41.7%,40.4%
25,    16 years and over,77.3%,76.7%,77.9%
26,    18 years and over,74.3%,73.7%,74.9%
27,    60 years and over,19.0%,17.6%,20.3%
28,    62 years and over,16.8%,15.4%,18.1%
29,    65 years and over,13.9%,12.7%,15.0%
30,    75 years and over,6.0%,5.3%,6.7%
