,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.9%,11.1%,10.6%
22,    15 to 17 years,3.5%,3.6%,3.5%
23,    18 to 24 years,12.8%,12.7%,12.8%
24,    15 to 44 years,42.0%,43.6%,40.5%
25,    16 years and over,82.4%,82.1%,82.7%
26,    18 years and over,80.0%,79.6%,80.4%
27,    60 years and over,19.6%,17.8%,21.4%
28,    62 years and over,16.7%,15.3%,18.2%
29,    65 years and over,13.3%,11.8%,14.9%
30,    75 years and over,5.9%,4.7%,7.2%
