,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.6%,16.2%,14.9%
22,    15 to 17 years,4.9%,5.0%,4.7%
23,    18 to 24 years,10.4%,10.8%,10.1%
24,    15 to 44 years,41.6%,42.5%,40.6%
25,    16 years and over,75.5%,74.8%,76.1%
26,    18 years and over,72.0%,71.1%,73.0%
27,    60 years and over,16.4%,14.7%,18.1%
28,    62 years and over,14.4%,12.9%,15.9%
29,    65 years and over,11.4%,9.9%,12.8%
30,    75 years and over,5.0%,4.0%,5.9%
