,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.8%,14.4%,13.2%
22,    15 to 17 years,4.3%,4.5%,4.1%
23,    18 to 24 years,10.0%,10.4%,9.6%
24,    15 to 44 years,42.3%,43.3%,41.2%
25,    16 years and over,77.9%,77.0%,78.9%
26,    18 years and over,75.1%,74.0%,76.1%
27,    60 years and over,17.3%,15.6%,19.0%
28,    62 years and over,15.0%,13.3%,16.7%
29,    65 years and over,11.9%,10.4%,13.4%
30,    75 years and over,5.4%,4.4%,6.4%
